STR_RED                     : {RED}{STRING}
STR_ORANGE                  : {ORANGE}{STRING}
STR_YELLOW                  : {YELLOW}{STRING}
STR_GREEN                   : {GREEN}{STRING}
STR_BLACK                   : {BLACK} {STRING}
STR_WHITE                   : {WHITE} {STRING}
STR_LTBLUE                  : {LTBLUE} {STRING}
STR_BLANK                   : {STRING}

STR_IMPORTANT               : Important: {} {STRING}
STR_PLEASE                  : Please!: {} {STRING}
STR_SERVERS                 : Servers: {} {STRING}
STR_TGOTTD                  : TeamGame_OpenTTD {STRING}
STR_CHECK                   : {CHECKMARK} {STRING}
STR_ARROW                   : {RIGHT_ARROW} {STRING}
STR_1HASH                   : # {STRING}
STR_3HASH                   : ### {STRING}

STR_WELCOME_WELCOME         : Welcome to {GREEN} {STRING} {BLACK}  by  {ORANGE} ''TeamGame_OpenTTD'' {BLACK} !!! {}{} {STRING}
STR_WELCOME_RULES           : Keep in mind that there are rules on this server. {}
STR_WELCOME_TEXT1           : is an open community where everyone is welcome to join in and play. {}{} {STRING}
STR_WELCOME_TEXT2           : This does mean that we expect decent behaviour from the players to keep it fun for everyone and to stop things from getting out of hand. {}{} {STRING}
STR_WELCOME_TEXT3           : We are community that promotes the coop style of playing games. Instead of competing with each other, we group together and work towards one goal with our combined efforts. {}{} {STRING}
STR_WELCOME_TEXT4           : Be friendly. This seems like an obvious one, but in practice turns out not to be. If you are in a grumpy mood, don’t make us grumpy by sharing it. Not only does the “being nice” cause a better atmosphere, it also gets you more help from others. {}{}{} {STRING}
STR_WELCOME_SERV            : Our community consists of three main servers... {}{} {STRING}
STR_SERVER_S3               : 'TG Vanilla server' {}{}
STR_SERVER_S2               : 'TG Welcome server' {}{} {STRING}
STR_SERVER_S1               : 'TG Public server' {}{} {STRING}

STR_RULES_RULES             : Rules are simple: {}{} {STRING}
STR_RULES_STEALING          : No stealing: {} {BLACK}  You cannot connect to any taken industry. Not primary, not secondary. Except power plant. {}{} {STRING}
STR_RULES_TELEPORT          : No teleporting: {} {BLACK}  Make distance between station name and vehicle arrival point minimal. You still can spread station around to get more cargo, transfer stations mus be physically connected (no more than 2 tiles between platforms).
STR_RULES_GRIDS             : No city grids: {} {BLACK}  3x3 road cells to make city grow faster. Only tiny fixes inside the city. If you are really need some roads in city, make sure you create 'Thrown Away' company - build roads and make company bankrupt. After that roads will become public destroyable and each play will have acces to city. Don't miss «natural» 3x3 grid. {}{} {STRING}
STR_RULES_CENTRAL           : Do not destroy the central tile and roads of the city! {}{} {STRING}
STR_RULES_FORBIDS           : Forbidden: {} {BLACK} - {LTBLUE} Blocking {} {BLACK} - {LTBLUE} Griefing {} {BLACK} - {LTBLUE} Trolling !!!

STR_SETTINGS_SET01          : Game duration - <{LTBLUE} {NUM} - {STRING}
STR_SETTINGS_SET02          : {LTBLUE} {NUM} {ORANGE}> {BLACK} about [{BLACK} {NUM} {BLACK}] years {}{}{} {STRING}
STR_SETTINGS_SET03          : {LTBLUE} Right time {RED} * {ORANGE}> {}{} {RED} * {BLACK} Server restarts when is the right time to do it (when map is full or people get bored). Questions when exactly that happens are considered {RED} EVIL {BLACK} !!! {}{}{} {STRING}
STR_SETTINGS_SET04          : Breakdowns - <{LTBLUE} OFF {ORANGE}> {STRING}
STR_SETTINGS_SET05          : Rail firstred twoway eol - <{LTBLUE} ON {ORANGE}> {}{} {STRING}
STR_SETTINGS_SET06          : Inflation - <{LTBLUE} OFF {ORANGE}> {STRING}
STR_SETTINGS_SET07          : Never expire vehicles - <{LTBLUE} ON {ORANGE}> {}{} {STRING}
